[Name]
Brabra

[Notes]
Brabra

[Components]
time,A,B,C,D,E

[Componentnotes]
A: Brabra
B: Brabra
C: Brabra
D: Brabra
E: Brabra

[Values]
171,2.915083265,3.10811882,1.761425897,2.614227751,2.066123684
172,3.02005401,3.201282007,1.827697707,2.690246045,2.062939958
173,3.101639248,3.273945845,1.893000015,2.766453718,2.0056691
174,3.152594016,3.3196242,1.952504878,2.837232739,1.896128308
175,3.166833087,3.332834488,2.001237629,2.896700178,1.740461704
176,3.142470182,3.311864226,2.035195691,2.94000612,1.551252875
177,3.080098738,3.257196447,2.051115728,2.963083607,1.343900836
178,2.98445561,3.173021329,2.047137526,2.963419127,1.137605815
179,2.863657035,3.066528513,2.023362283,2.940744166,0.95138499
180,2.728329547,2.947136832,1.981662542,2.896841133,0.802974634
181,2.590975736,2.825926235,1.925694038,2.835582173,0.706787764
182,2.463591569,2.713509432,1.860318743,2.76231807,0.669671591
183,2.356569169,2.619046167,1.791133471,2.683342704,0.690453655
184,2.277455064,2.549139811,1.723874564,2.605220042,0.761764581
185,2.230502863,2.507469872,1.663785649,2.5340581,0.87338589
186,2.217072299,2.495190096,1.615135474,2.474944107,1.014781108
187,2.236110609,2.511392545,1.580793742,2.431445318,1.17606452
188,2.285650452,2.554396678,1.562843133,2.406252794,1.347633493
189,2.361920675,2.620971864,1.562018284,2.400551723,1.52011884
190,2.460103225,2.706967993,1.578113696,2.414443745,1.68416024
191,2.574415083,2.80738049,1.610106205,2.447082934,1.8303438
192,2.697736153,2.916003338,1.655809828,2.496256436,1.949113536
193,2.822012917,3.025756243,1.712208318,2.558736139,2.030956271
194,2.939060858,3.129395102,1.775814917,2.630672375,2.068503577
195,3.03945607,3.218552267,1.842138905,2.707028417,2.053849334
196,3.114981351,3.285885774,1.906513701,2.78243906,1.985362134
197,3.157946376,3.32449639,1.963874367,2.850999559,1.864665583
198,3.163775131,3.33026133,2.009582533,2.907185313,1.700830581
199,3.130879253,3.30172523,2.039751904,2.946268599,1.506373109
200,3.060746351,3.240173307,2.05127994,2.964344685,1.298362699
