f	x(1)	x(2)	x(3)	x(4)	x(5)	x(6)	x(7)	x(8)	x(9)	
1.258660e-01	2.532888e+00	5.348050e-01	5.135878e+00	3.912721e+00	1.628456e-01	7.077125e+00	6.537934e+00	2.808344e-01	7.134209e+00	
1.443177e-01	4.783176e+00	2.492959e-01	3.532001e+00	3.906069e+00	1.670178e-01	5.005011e+00	5.754885e+00	4.829930e-01	7.495908e+00	
1.625251e-01	5.761017e+00	1.362301e-01	5.426694e+00	1.203111e+00	1.661031e+00	7.032507e+00	8.055246e+00	9.677954e-01	5.954178e+00	
1.856638e-01	2.902179e+00	3.833810e-01	4.431896e+00	5.164493e+00	2.218061e-01	4.179226e+00	8.842733e+00	7.493751e-02	6.821831e+00	
1.926328e-01	3.943492e+00	2.175823e-02	6.089169e+00	4.047279e+00	3.716967e-01	5.079096e+00	5.897864e+00	7.085253e-01	7.591911e+00	
2.140079e-01	5.422083e+00	3.475880e-01	4.409737e+00	4.600597e+00	3.079253e-01	7.945872e+00	8.931635e+00	4.106221e-02	8.000759e+00	
2.206907e-01	5.280973e+00	7.381684e-03	2.541392e+00	4.191427e+00	5.370329e-01	6.390998e+00	6.985079e+00	4.201258e-01	7.845430e+00	
2.210645e-01	7.063000e+00	4.838622e-01	2.518759e+00	1.083398e+00	4.844628e-01	7.016741e+00	7.320721e+00	5.893796e-01	9.183092e+00	
2.535072e-01	5.225778e+00	2.288086e-01	5.130620e+00	1.768065e+00	5.884724e-01	4.944837e+00	5.442360e+00	7.251693e-01	7.352233e+00	
2.918191e-01	4.558807e+00	3.930168e-01	5.227145e+00	2.797082e+00	5.826271e-02	7.202061e+00	5.465865e+00	1.020427e+00	7.159950e+00	
3.248819e-01	5.704398e+00	2.781630e-01	3.217536e+00	4.956367e+00	2.597469e-02	3.994240e+00	5.945417e+00	1.192721e+00	4.715479e+00	
3.270683e-01	5.523318e+00	6.927507e-01	3.056019e+00	1.130362e+00	5.586223e-01	7.842294e+00	6.637384e+00	4.729930e-01	9.358767e+00	
4.065961e-01	6.674461e+00	1.671844e+00	4.064325e+00	3.896845e+00	1.817434e-01	6.504526e+00	7.016165e+00	1.936559e-01	7.599838e+00	
4.403571e-01	3.709416e+00	1.257980e+00	4.720768e+00	9.721695e-01	5.851283e-01	9.294571e+00	3.286207e+00	2.609078e-01	5.529058e+00	
6.086501e-01	6.309833e+00	6.718782e-01	3.217181e+00	5.065489e+00	1.375991e-01	4.901382e+00	6.087587e+00	5.963749e-01	9.730647e+00	
6.276173e-01	4.421667e+00	6.047697e-01	5.209847e+00	4.994154e+00	1.978354e-01	4.606988e+00	5.023514e+00	4.909241e-01	6.252782e+00	
7.047161e-01	3.564634e+00	5.508346e-01	5.043255e+00	4.287532e+00	2.249240e-01	6.329490e+00	7.294827e+00	7.088406e-01	7.967946e+00	
8.418115e-01	6.442891e+00	6.966783e-01	5.687999e+00	2.665556e+00	6.680807e-02	5.449144e+00	4.958500e+00	8.042516e-01	5.305586e+00	
8.764896e-01	4.637779e+00	5.776434e-01	6.121082e+00	2.603645e+00	7.814406e-01	8.857940e+00	6.385750e+00	1.736796e-01	6.485550e+00	
9.171525e-01	3.491775e+00	3.359554e-01	2.517280e+00	3.920377e+00	2.521320e-01	6.316276e+00	6.929850e+00	9.481205e-01	5.381568e+00	
3.548357e+00	4.489914e+00	5.976870e-01	5.404804e+00	1.758790e+00	9.425945e-01	5.477229e+00	4.407905e+00	9.065663e-01	5.280696e+00	
2.918754e+01	6.484192e+00	5.717885e-02	3.259030e+00	4.877744e+00	1.734335e+00	9.742745e+00	7.005647e+00	1.820533e+00	5.268933e+00	
5.740454e+01	8.680311e+00	1.309632e+00	5.016279e+00	5.542357e+00	1.024860e+00	5.924071e+00	4.513285e+00	1.820455e+00	1.910013e+00	
